	r_spotId	관광지명	area_code	Unnamed: 0	date	avgTemp	highTemp	lowTemp	rainProb	weather	datetime	month	weekday	season
0	1	1100고지 코스	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
1	1	1100고지 코스	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
2	1	1100고지 코스	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
3	1	1100고지 코스	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
4	1	1100고지 코스	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
5	1	1100고지 코스	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
6	1	1100고지 코스	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
7	1	1100고지 코스	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
8	1	1100고지 코스	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
9	2	1100고지습지	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
10	2	1100고지습지	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
11	2	1100고지습지	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
12	2	1100고지습지	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
13	2	1100고지습지	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
14	2	1100고지습지	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
15	2	1100고지습지	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
16	2	1100고지습지	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
17	2	1100고지습지	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
18	3	5.16도로숲터널	0	0	2023-11-14	11.846153846153848	15	9	30	4	2023-11-14	November	1	fall
19	3	5.16도로숲터널	0	1	2023-11-15	11.958333333333334	16	9	30	4	2023-11-15	November	2	fall
20	3	5.16도로숲터널	0	2	2023-11-16	12.958333333333334	17	10	67	4	2023-11-16	November	3	fall
21	3	5.16도로숲터널	0	3	2023-11-17	10.5	13	9	30	4	2023-11-17	November	4	fall
22	3	5.16도로숲터널	0	4	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
23	3	5.16도로숲터널	0	5	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
24	3	5.16도로숲터널	0	6	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
25	3	5.16도로숲터널	0	7	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
26	3	5.16도로숲터널	0	8	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
27	4	9.81파크	7	63	2023-11-14	11.76923076923077	13	10	30	4	2023-11-14	November	1	fall
28	4	9.81파크	7	64	2023-11-15	11.791666666666666	15	9	30	4	2023-11-15	November	2	fall
29	4	9.81파크	7	65	2023-11-16	12.5	17	10	73	4	2023-11-16	November	3	fall
30	4	9.81파크	7	66	2023-11-17	10.5	12	10	60	4	2023-11-17	November	4	fall
31	4	9.81파크	7	67	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
32	4	9.81파크	7	68	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
33	4	9.81파크	7	69	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
34	4	9.81파크	7	70	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
35	4	9.81파크	7	71	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
36	5	J1카트클럽	11	99	2023-11-14	12.615384615384617	14	12	30	4	2023-11-14	November	1	fall
37	5	J1카트클럽	11	100	2023-11-15	13.125	16	11	20	4	2023-11-15	November	2	fall
38	5	J1카트클럽	11	101	2023-11-16	13.375	17	11	75	4	2023-11-16	November	3	fall
39	5	J1카트클럽	11	102	2023-11-17	10.833333333333334	12	9	60	4	2023-11-17	November	4	fall
40	5	J1카트클럽	11	103	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
41	5	J1카트클럽	11	104	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
42	5	J1카트클럽	11	105	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
43	5	J1카트클럽	11	106	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
44	5	J1카트클럽	11	107	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
45	6	M1971요트투어	1	9	2023-11-14	11.76923076923077	14	10	30	4	2023-11-14	November	1	fall
46	6	M1971요트투어	1	10	2023-11-15	12.083333333333334	16	9	30	4	2023-11-15	November	2	fall
47	6	M1971요트투어	1	11	2023-11-16	13.083333333333334	17	10	67	4	2023-11-16	November	3	fall
48	6	M1971요트투어	1	12	2023-11-17	10.708333333333334	12	10	60	4	2023-11-17	November	4	fall
49	6	M1971요트투어	1	13	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
50	6	M1971요트투어	1	14	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
51	6	M1971요트투어	1	15	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
52	6	M1971요트투어	1	16	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
53	6	M1971요트투어	1	17	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
54	7	가문동포구	7	63	2023-11-14	11.76923076923077	13	10	30	4	2023-11-14	November	1	fall
55	7	가문동포구	7	64	2023-11-15	11.791666666666666	15	9	30	4	2023-11-15	November	2	fall
56	7	가문동포구	7	65	2023-11-16	12.5	17	10	73	4	2023-11-16	November	3	fall
57	7	가문동포구	7	66	2023-11-17	10.5	12	10	60	4	2023-11-17	November	4	fall
58	7	가문동포구	7	67	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
59	7	가문동포구	7	68	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
60	7	가문동포구	7	69	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
61	7	가문동포구	7	70	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
62	7	가문동포구	7	71	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
63	8	가파도	1	9	2023-11-14	11.76923076923077	14	10	30	4	2023-11-14	November	1	fall
64	8	가파도	1	10	2023-11-15	12.083333333333334	16	9	30	4	2023-11-15	November	2	fall
65	8	가파도	1	11	2023-11-16	13.083333333333334	17	10	67	4	2023-11-16	November	3	fall
66	8	가파도	1	12	2023-11-17	10.708333333333334	12	10	60	4	2023-11-17	November	4	fall
67	8	가파도	1	13	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
68	8	가파도	1	14	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
69	8	가파도	1	15	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
70	8	가파도	1	16	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
71	8	가파도	1	17	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
72	9	감귤박물관	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
73	9	감귤박물관	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
74	9	감귤박물관	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
75	9	감귤박물관	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
76	9	감귤박물관	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
77	9	감귤박물관	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
78	9	감귤박물관	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
79	9	감귤박물관	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
80	9	감귤박물관	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
81	10	감따남	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
82	10	감따남	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
83	10	감따남	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
84	10	감따남	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
85	10	감따남	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
86	10	감따남	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
87	10	감따남	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
88	10	감따남	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
89	10	감따남	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
90	11	강정마을해안도로	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
91	11	강정마을해안도로	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
92	11	강정마을해안도로	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
93	11	강정마을해안도로	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
94	11	강정마을해안도로	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
95	11	강정마을해안도로	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
96	11	강정마을해안도로	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
97	11	강정마을해안도로	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
98	11	강정마을해안도로	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
99	12	강정천유원지	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
100	12	강정천유원지	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
101	12	강정천유원지	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
102	12	강정천유원지	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
103	12	강정천유원지	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
104	12	강정천유원지	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
105	12	강정천유원지	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
106	12	강정천유원지	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
107	12	강정천유원지	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
108	13	강정포구	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
109	13	강정포구	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
110	13	강정포구	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
111	13	강정포구	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
112	13	강정포구	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
113	13	강정포구	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
114	13	강정포구	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
115	13	강정포구	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
116	13	강정포구	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
117	14	갯깍주상절리대	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
118	14	갯깍주상절리대	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
119	14	갯깍주상절리대	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
120	14	갯깍주상절리대	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
121	14	갯깍주상절리대	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
122	14	갯깍주상절리대	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
123	14	갯깍주상절리대	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
124	14	갯깍주상절리대	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
125	14	갯깍주상절리대	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
126	15	거문오름	8	72	2023-11-14	12.153846153846152	13	11	30	4	2023-11-14	November	1	fall
127	15	거문오름	8	73	2023-11-15	12.5	15	11	20	4	2023-11-15	November	2	fall
128	15	거문오름	8	74	2023-11-16	13.0	16	11	72	4	2023-11-16	November	3	fall
129	15	거문오름	8	75	2023-11-17	10.833333333333334	12	10	60	4	2023-11-17	November	4	fall
130	15	거문오름	8	76	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
131	15	거문오름	8	77	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
132	15	거문오름	8	78	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
133	15	거문오름	8	79	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
134	15	거문오름	8	80	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
135	16	거문오름탐방안내소	8	72	2023-11-14	12.153846153846152	13	11	30	4	2023-11-14	November	1	fall
136	16	거문오름탐방안내소	8	73	2023-11-15	12.5	15	11	20	4	2023-11-15	November	2	fall
137	16	거문오름탐방안내소	8	74	2023-11-16	13.0	16	11	72	4	2023-11-16	November	3	fall
138	16	거문오름탐방안내소	8	75	2023-11-17	10.833333333333334	12	10	60	4	2023-11-17	November	4	fall
139	16	거문오름탐방안내소	8	76	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
140	16	거문오름탐방안내소	8	77	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
141	16	거문오름탐방안내소	8	78	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
142	16	거문오름탐방안내소	8	79	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
143	16	거문오름탐방안내소	8	80	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
144	17	거슨세미오름	6	54	2023-11-14	11.23076923076923	13	10	30	4	2023-11-14	November	1	fall
145	17	거슨세미오름	6	55	2023-11-15	11.541666666666666	15	9	20	4	2023-11-15	November	2	fall
146	17	거슨세미오름	6	56	2023-11-16	12.166666666666666	17	8	69	4	2023-11-16	November	3	fall
147	17	거슨세미오름	6	57	2023-11-17	10.041666666666666	11	9	60	4	2023-11-17	November	4	fall
148	17	거슨세미오름	6	58	2023-11-18	10.5	14	7	40	1	2023-11-18	November	5	fall
149	17	거슨세미오름	6	59	2023-11-19	13.0	18	8	20	1	2023-11-19	November	6	fall
150	17	거슨세미오름	6	60	2023-11-20	12.5	16	9	10	1	2023-11-20	November	0	fall
151	17	거슨세미오름	6	61	2023-11-22	14.0	18	10	20	1	2023-11-22	November	2	fall
152	17	거슨세미오름	6	62	2023-11-23	13.0	16	10	40	4	2023-11-23	November	3	fall
153	18	건강과성박물관	3	27	2023-11-14	12.23076923076923	14	11	30	4	2023-11-14	November	1	fall
154	18	건강과성박물관	3	28	2023-11-15	12.541666666666666	16	10	30	4	2023-11-15	November	2	fall
155	18	건강과성박물관	3	29	2023-11-16	13.416666666666666	17	11	64	4	2023-11-16	November	3	fall
156	18	건강과성박물관	3	30	2023-11-17	10.75	12	10	60	4	2023-11-17	November	4	fall
157	18	건강과성박물관	3	31	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
158	18	건강과성박물관	3	32	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
159	18	건강과성박물관	3	33	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
160	18	건강과성박물관	3	34	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
161	18	건강과성박물관	3	35	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
162	19	걸매생태공원	5	45	2023-11-14	13.76923076923077	16	12	30	4	2023-11-14	November	1	fall
163	19	걸매생태공원	5	46	2023-11-15	14.25	18	11	30	4	2023-11-15	November	2	fall
164	19	걸매생태공원	5	47	2023-11-16	15.041666666666666	19	13	66	4	2023-11-16	November	3	fall
165	19	걸매생태공원	5	48	2023-11-17	11.75	14	10	30	4	2023-11-17	November	4	fall
166	19	걸매생태공원	5	49	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
167	19	걸매생태공원	5	50	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
168	19	걸매생태공원	5	51	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
169	19	걸매생태공원	5	52	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
170	19	걸매생태공원	5	53	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
171	20	걸어가는늑대들	8	72	2023-11-14	12.153846153846152	13	11	30	4	2023-11-14	November	1	fall
