title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
동문재래시장,11,83.0,2023-11-18,11.5,14,9,40,1,1052.4688
동문재래시장,11,83.0,2023-11-19,15.0,18,12,20,1,1018.366
동문재래시장,11,83.0,2023-11-20,13.5,16,11,10,1,960.99023
동문재래시장,11,83.0,2023-11-23,12.5,15,10,40,4,949.729
서귀포매일올레시장,5,156.0,2023-11-18,11.5,14,9,40,1,948.4813
동문재래시장,11,83.0,2023-11-14,12.615384615384617,14,12,30,4,933.0915
동문재래시장,11,83.0,2023-11-17,10.833333333333334,12,9,60,4,917.31647
동문재래시장,11,83.0,2023-11-15,13.125,16,11,20,4,913.3725
동문재래시장,11,83.0,2023-11-22,14.0,17,11,20,1,894.5589
동문재래시장,11,83.0,2023-11-16,13.375,17,11,75,4,881.3697
서귀포매일올레시장,5,156.0,2023-11-15,14.25,18,11,30,4,862.12274
서귀포매일올레시장,5,156.0,2023-11-17,11.75,14,10,30,4,861.09595
서귀포매일올레시장,5,156.0,2023-11-19,15.0,18,12,20,1,860.56055
서귀포매일올레시장,5,156.0,2023-11-14,13.76923076923077,16,12,30,4,853.3183
서귀포매일올레시장,5,156.0,2023-11-20,13.5,16,11,10,1,852.45056
서귀포매일올레시장,5,156.0,2023-11-22,14.0,17,11,20,1,850.4138
서귀포매일올레시장,5,156.0,2023-11-23,12.5,15,10,40,4,837.4653
서귀포매일올레시장,5,156.0,2023-11-16,15.041666666666666,19,13,66,4,833.1162
성산일출봉,2,177.0,2023-11-19,13.0,18,8,20,1,723.3039
함덕해수욕장,8,458.0,2023-11-19,15.0,18,12,20,1,707.4375
새별오름,7,149.0,2023-11-19,15.0,18,12,20,1,699.65686
새별오름,7,149.0,2023-11-20,13.5,16,11,10,1,661.35504
새별오름,7,149.0,2023-11-22,14.0,17,11,20,1,640.2017
새별오름,7,149.0,2023-11-18,11.5,14,9,40,1,638.4538
협재해수욕장,10,464.0,2023-11-19,15.0,18,12,20,1,615.42535
성산일출봉,2,177.0,2023-11-18,10.5,14,7,40,1,606.309
함덕해수욕장,8,458.0,2023-11-20,13.5,16,11,10,1,596.09
성산일출봉,2,177.0,2023-11-22,14.0,18,10,20,1,591.4194
성산일출봉,2,177.0,2023-11-20,12.5,16,9,10,1,584.00195
함덕해수욕장,8,458.0,2023-11-22,14.0,17,11,20,1,582.2843
함덕해수욕장,8,458.0,2023-11-18,11.5,14,9,40,1,578.8536
새별오름,7,149.0,2023-11-23,12.5,15,10,40,4,573.39325
함덕해수욕장,8,458.0,2023-11-15,12.5,15,11,20,4,561.9797
협재해수욕장,10,464.0,2023-11-22,14.5,17,12,20,1,561.9725
성산일출봉,2,177.0,2023-11-15,12.625,15,11,20,4,556.91003
새별오름,7,149.0,2023-11-14,11.76923076923077,13,10,30,4,556.4037
협재해수욕장,10,464.0,2023-11-20,13.5,16,11,10,1,553.06976
새별오름,7,149.0,2023-11-15,11.791666666666666,15,9,30,4,549.2732
협재해수욕장,10,464.0,2023-11-18,12.0,14,10,40,1,541.05444
아르떼뮤지엄제주,7,228.0,2023-11-18,11.5,14,9,40,1,523.341
성산일출봉,2,177.0,2023-11-23,13.0,16,10,40,4,522.41327
함덕해수욕장,8,458.0,2023-11-23,12.5,15,10,40,4,522.0167
성산일출봉,2,177.0,2023-11-14,12.0,13,11,30,4,518.5534
새별오름,7,149.0,2023-11-16,12.5,17,10,73,4,509.8018
성산일출봉,2,177.0,2023-11-17,11.083333333333334,12,10,60,4,502.22656
새별오름,7,149.0,2023-11-17,10.5,12,10,60,4,499.3428
함덕해수욕장,8,458.0,2023-11-16,13.0,16,11,72,4,497.50116
성산일출봉,2,177.0,2023-11-16,13.291666666666666,17,10,72,4,497.14075
함덕해수욕장,8,458.0,2023-11-17,10.833333333333334,12,10,60,4,463.66388
협재해수욕장,10,464.0,2023-11-23,13.5,15,12,40,4,450.47064
함덕해수욕장,8,458.0,2023-11-14,12.153846153846152,13,11,30,4,447.39175
협재해수욕장,10,464.0,2023-11-14,12.153846153846152,13,11,30,4,432.76047
협재해수욕장,10,464.0,2023-11-15,11.708333333333334,15,9,30,4,422.89496
섭지코지,2,172.0,2023-11-19,13.0,18,8,20,1,420.2984
아르떼뮤지엄제주,7,228.0,2023-11-14,11.76923076923077,13,10,30,4,414.70755
협재해수욕장,10,464.0,2023-11-17,10.875,12,10,60,4,412.1682
협재해수욕장,10,464.0,2023-11-16,12.625,18,9,68,4,409.6868
한라산둘레길사려니숲길,8,444.0,2023-11-19,15.0,18,12,20,1,401.01706
이호테우해변,11,298.0,2023-11-19,15.0,18,12,20,1,395.55823
섭지코지,2,172.0,2023-11-22,14.0,18,10,20,1,388.87024
산굼부리,8,133.0,2023-11-19,15.0,18,12,20,1,386.0303
섭지코지,2,172.0,2023-11-20,12.5,16,9,10,1,384.85202
섭지코지,2,172.0,2023-11-18,10.5,14,7,40,1,384.5235
한라산둘레길사려니숲길,8,444.0,2023-11-18,11.5,14,9,40,1,384.21167
오설록티뮤지엄,3,256.0,2023-11-18,11.5,14,9,40,1,381.9513
아르떼뮤지엄제주,7,228.0,2023-11-17,10.5,12,10,60,4,379.70657
오설록티뮤지엄,3,256.0,2023-11-19,15.0,18,12,20,1,376.97403
한라산둘레길사려니숲길,8,444.0,2023-11-20,13.5,16,11,10,1,370.29974
섭지코지,2,172.0,2023-11-15,12.625,15,11,20,4,369.18124
아르떼뮤지엄제주,7,228.0,2023-11-16,12.5,17,10,73,4,368.05008
오설록티뮤지엄,3,256.0,2023-11-20,13.5,16,11,10,1,361.74207
아르떼뮤지엄제주,7,228.0,2023-11-23,12.5,15,10,40,4,361.21396
이호테우해변,11,298.0,2023-11-20,13.5,16,11,10,1,360.65863
이호테우해변,11,298.0,2023-11-22,14.0,17,11,20,1,360.30286
오설록티뮤지엄,3,256.0,2023-11-14,12.23076923076923,14,11,30,4,359.62546
오설록티뮤지엄,3,256.0,2023-11-22,14.0,17,11,20,1,355.76013
오설록티뮤지엄,3,256.0,2023-11-15,12.541666666666666,16,10,30,4,354.6317
아르떼뮤지엄제주,7,228.0,2023-11-15,11.791666666666666,15,9,30,4,354.10635
섭지코지,2,172.0,2023-11-23,13.0,16,10,40,4,353.36896
한라산둘레길사려니숲길,8,444.0,2023-11-22,14.0,17,11,20,1,353.1063
오설록티뮤지엄,3,256.0,2023-11-17,10.75,12,10,60,4,352.89124
섭지코지,2,172.0,2023-11-16,13.291666666666666,17,10,72,4,352.00253
섭지코지,2,172.0,2023-11-17,11.083333333333334,12,10,60,4,349.1032
섭지코지,2,172.0,2023-11-14,12.0,13,11,30,4,349.0113
한라산둘레길사려니숲길,8,444.0,2023-11-15,12.5,15,11,20,4,345.68854
