,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
742,83.0,동문재래시장,11,103,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,1052.4688
743,83.0,동문재래시장,11,104,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,1018.366
744,83.0,동문재래시장,11,105,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,960.99023
746,83.0,동문재래시장,11,107,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,949.729
1399,156.0,서귀포매일올레시장,5,49,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,948.4813
738,83.0,동문재래시장,11,99,2023-11-14,12.615384615384617,14,12,30,4,2023-11-14 00:00:00,November,1,fall,,,933.0915
741,83.0,동문재래시장,11,102,2023-11-17,10.833333333333334,12,9,60,4,2023-11-17 00:00:00,November,4,fall,,,917.31647
739,83.0,동문재래시장,11,100,2023-11-15,13.125,16,11,20,4,2023-11-15 00:00:00,November,2,fall,,,913.3725
745,83.0,동문재래시장,11,106,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,894.5589
740,83.0,동문재래시장,11,101,2023-11-16,13.375,17,11,75,4,2023-11-16 00:00:00,November,3,fall,,,881.3697
1396,156.0,서귀포매일올레시장,5,46,2023-11-15,14.25,18,11,30,4,2023-11-15 00:00:00,November,2,fall,,,862.12274
1398,156.0,서귀포매일올레시장,5,48,2023-11-17,11.75,14,10,30,4,2023-11-17 00:00:00,November,4,fall,,,861.09595
1400,156.0,서귀포매일올레시장,5,50,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,860.56055
1395,156.0,서귀포매일올레시장,5,45,2023-11-14,13.76923076923077,16,12,30,4,2023-11-14 00:00:00,November,1,fall,,,853.3183
1401,156.0,서귀포매일올레시장,5,51,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,852.45056
1402,156.0,서귀포매일올레시장,5,52,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,850.4138
1403,156.0,서귀포매일올레시장,5,53,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,837.4653
