	date	area_code	avgTemp	highTemp	lowTemp	rainProb	weather
0	2023-11-14	0	11.846153846153847	15	9	30	4
1	2023-11-15	0	11.958333333333334	16	9	30	4
2	2023-11-16	0	12.958333333333334	17	10	67	4
3	2023-11-17	0	10.5	13	9	30	4
4	2023-11-18	0	11.5	14	9	40	1
5	2023-11-19	0	15.0	18	12	20	1
6	2023-11-20	0	13.5	16	11	10	1
7	2023-11-22	0	14.0	17	11	20	1
8	2023-11-23	0	12.5	15	10	40	4
9	2023-11-14	1	11.76923076923077	14	10	30	4
10	2023-11-15	1	12.083333333333334	16	9	30	4
11	2023-11-16	1	13.083333333333334	17	10	67	4
12	2023-11-17	1	10.708333333333334	12	10	60	4
13	2023-11-18	1	11.5	14	9	40	1
14	2023-11-19	1	15.0	18	12	20	1
15	2023-11-20	1	13.5	16	11	10	1
16	2023-11-22	1	14.0	17	11	20	1
17	2023-11-23	1	12.5	15	10	40	4
18	2023-11-14	2	12.0	13	11	30	4
19	2023-11-15	2	12.625	15	11	20	4
20	2023-11-16	2	13.291666666666666	17	10	72	4
21	2023-11-17	2	11.083333333333334	12	10	60	4
22	2023-11-18	2	10.5	14	7	40	1
23	2023-11-19	2	13.0	18	8	20	1
24	2023-11-20	2	12.5	16	9	10	1
25	2023-11-22	2	14.0	18	10	20	1
26	2023-11-23	2	13.0	16	10	40	4
27	2023-11-14	3	12.23076923076923	14	11	30	4
28	2023-11-15	3	12.541666666666666	16	10	30	4
29	2023-11-16	3	13.416666666666666	17	11	64	4
30	2023-11-17	3	10.75	12	10	60	4
31	2023-11-18	3	11.5	14	9	40	1
32	2023-11-19	3	15.0	18	12	20	1
33	2023-11-20	3	13.5	16	11	10	1
34	2023-11-22	3	14.0	17	11	20	1
35	2023-11-23	3	12.5	15	10	40	4
36	2023-11-14	4	11.461538461538462	14	9	30	4
37	2023-11-15	4	11.958333333333334	16	9	30	4
38	2023-11-16	4	13.166666666666666	17	10	73	4
39	2023-11-17	4	10.75	13	9	30	4
40	2023-11-18	4	10.5	14	7	40	1
41	2023-11-19	4	13.0	18	8	20	1
42	2023-11-20	4	12.5	16	9	10	1
43	2023-11-22	4	14.0	18	10	20	1
44	2023-11-23	4	13.0	16	10	40	4
45	2023-11-14	5	13.76923076923077	16	12	30	4
46	2023-11-15	5	14.25	18	11	30	4
47	2023-11-16	5	15.041666666666666	19	13	66	4
48	2023-11-17	5	11.75	14	10	30	4
49	2023-11-18	5	11.5	14	9	40	1
50	2023-11-19	5	15.0	18	12	20	1
51	2023-11-20	5	13.5	16	11	10	1
52	2023-11-22	5	14.0	17	11	20	1
53	2023-11-23	5	12.5	15	10	40	4
54	2023-11-14	6	11.23076923076923	13	10	30	4
55	2023-11-15	6	11.541666666666666	15	9	20	4
56	2023-11-16	6	12.166666666666666	17	8	69	4
57	2023-11-17	6	10.041666666666666	11	9	60	4
58	2023-11-18	6	10.5	14	7	40	1
59	2023-11-19	6	13.0	18	8	20	1
60	2023-11-20	6	12.5	16	9	10	1
61	2023-11-22	6	14.0	18	10	20	1
62	2023-11-23	6	13.0	16	10	40	4
63	2023-11-14	7	11.76923076923077	13	10	30	4
64	2023-11-15	7	11.791666666666666	15	9	30	4
65	2023-11-16	7	12.5	17	10	73	4
66	2023-11-17	7	10.5	12	10	60	4
67	2023-11-18	7	11.5	14	9	40	1
68	2023-11-19	7	15.0	18	12	20	1
69	2023-11-20	7	13.5	16	11	10	1
70	2023-11-22	7	14.0	17	11	20	1
71	2023-11-23	7	12.5	15	10	40	4
72	2023-11-14	8	12.153846153846153	13	11	30	4
73	2023-11-15	8	12.5	15	11	20	4
74	2023-11-16	8	13.0	16	11	72	4
75	2023-11-17	8	10.833333333333334	12	10	60	4
76	2023-11-18	8	11.5	14	9	40	1
77	2023-11-19	8	15.0	18	12	20	1
78	2023-11-20	8	13.5	16	11	10	1
79	2023-11-22	8	14.0	17	11	20	1
80	2023-11-23	8	12.5	15	10	40	4
81	2023-11-14	9	12.538461538461538	13	12	30	4
82	2023-11-15	9	12.583333333333334	15	10	30	4
83	2023-11-16	9	13.166666666666666	17	10	64	4
84	2023-11-17	9	11.375	12	10	60	4
85	2023-11-18	9	12.0	14	10	40	1
86	2023-11-19	9	15.0	18	12	20	1
87	2023-11-20	9	13.5	16	11	10	1
88	2023-11-22	9	14.5	17	12	20	1
89	2023-11-23	9	13.5	15	12	40	4
90	2023-11-14	10	12.153846153846153	13	11	30	4
91	2023-11-15	10	11.708333333333334	15	9	30	4
92	2023-11-16	10	12.625	18	9	68	4
93	2023-11-17	10	10.875	12	10	60	4
94	2023-11-18	10	12.0	14	10	40	1
95	2023-11-19	10	15.0	18	12	20	1
96	2023-11-20	10	13.5	16	11	10	1
97	2023-11-22	10	14.5	17	12	20	1
98	2023-11-23	10	13.5	15	12	40	4
99	2023-11-14	11	12.615384615384615	14	12	30	4
100	2023-11-15	11	13.125	16	11	20	4
101	2023-11-16	11	13.375	17	11	75	4
102	2023-11-17	11	10.833333333333334	12	9	60	4
103	2023-11-18	11	11.5	14	9	40	1
104	2023-11-19	11	15.0	18	12	20	1
105	2023-11-20	11	13.5	16	11	10	1
106	2023-11-22	11	14.0	17	11	20	1
107	2023-11-23	11	12.5	15	10	40	4
